"chrom","chromStart","chromEnd","strand","name"
"1",3205901,3671498,"-","Xkr4"
"1",3999557,4409241,"-","Rp1"
"1",4490931,4497354,"-","Sox17"
"1",4496551,4499558,"+","Gm37587"
"1",4773206,4785739,"-","Mrpl15"
"1",4807788,4848410,"+","Lypla1"
"1",4807892,4886770,"+","Gm37988"
"1",4857814,4897909,"+","Tcea1"
"1",4909576,5070285,"-","Rgs20"
"1",5070018,5162529,"+","Atp6v1h"
"1",5588466,5606131,"+","Oprk1"
"1",5913707,5917398,"-","Npbwr1"
"1",6206197,6276648,"+","Rb1cc1"
"1",6359218,6394731,"+","Alkal1"
"1",6487231,6860940,"+","St18"
"1",7088920,7173628,"+","Pcmtd1"
"1",8361475,9299878,"-","Sntg1"
"1",9545408,9547455,"+","Rrs1"
"1",9547948,9580673,"+","Adhfe1"
"1",9560832,9631175,"-","2610203C22Rik"
"1",9601199,9627143,"+","Vxn"
"1",9667415,9700209,"-","Mybl1"
"1",9718622,9748382,"-","Vcpip1"
"1",9798107,9900845,"+","Sgk3"
"1",9908638,9942085,"+","Mcmdc2"
"1",9960163,9967932,"-","Tcf24"
"1",9968624,10009136,"-","Ppp1r42"
"1",10024601,10038168,"-","Cops5"
"1",10037987,10136768,"+","Cspp1"
"1",10137571,10232670,"-","Arfgef1"
"1",10324720,10719945,"-","Cpa6"
"1",10993465,11303681,"+","Prex2"
"1",11414105,11975901,"+","A830018L16Rik"
"1",12692277,12861192,"+","Sulf1"
"1",12866549,12992650,"-","Slco5a1"
"1",13113457,13127163,"-","Prdm14"
"1",13139105,13374083,"-","Ncoa2"
"1",13564698,13589910,"-","Tram1"
"1",13623330,13660546,"-","Lactb2"
"1",13668771,13701723,"+","Xkr9"
"1",14168954,14310235,"-","Eya1"
"1",14753346,14755992,"-","Msc"
"1",14872648,14918862,"-","Trpa1"
"1",15287254,15723750,"+","Kcnb2"
"1",15805646,15844052,"+","Terf1"
"1",15853862,15892722,"-","Sbspon"
"1",16065979,16093325,"-","4930444P10Rik"
"1",16101295,16104662,"-","Rpl7"
"1",16105774,16133734,"+","Rdh10"
"1",16228674,16520112,"-","Stau2"
"1",16540790,16619489,"-","Ube2w"
"1",16641725,16657042,"-","Eloc"
"1",16665207,16678275,"+","Tmem70"
"1",16688051,16709611,"+","Ly96"
"1",16964560,17097889,"-","Jph1"
"1",17145362,17164271,"+","Gdap1"
"1",17601901,17630939,"+","Pi15"
"1",17727045,17766344,"+","Crispld1"
"1",17994462,18059056,"-","Gm28756"
"1",18115191,18145902,"-","Crisp4"
"1",18236473,18237443,"-","Defb18"
"1",18250980,18265138,"-","Defb41"
"1",19103022,19166346,"+","Tfap2d"
"1",19208914,19238576,"+","Tfap2b"
"1",20057779,20618064,"-","Pkhd1"
"1",20730905,20734496,"+","Il17a"
"1",20777146,20790617,"-","Il17f"
"1",20802968,20820312,"-","Mcm3"
"1",20890606,20939650,"+","Paqr8"
"1",20951626,20990841,"+","Efhc1"
"1",20996299,21079229,"-","Tram2"
"1",21218575,21230167,"+","Tmem14a"
"1",21240589,21265661,"+","Gsta3"
"1",21349641,21352200,"+","Khdc1a"
"1",21368331,21370845,"+","Khdc1c"
"1",21383556,21386373,"+","Khdc1b"
"1",21398403,21961942,"-","Kcnq5"
"1",22286251,22805994,"-","Rims1"
"1",23100473,23102253,"-","4933415F23Rik"
"1",23366424,23397772,"-","Ogfrl1"
"1",23761753,23849158,"+","B3gat2"
"1",23844846,23922317,"-","Smap1"
"1",23995939,24005656,"-","Sdhaf4"
"1",24011093,24100341,"-","Fam135a"
"1",24177610,24252684,"+","Col9a1"
"1",24261890,24587472,"-","Col19a1"
"1",24678630,24766301,"+","Lmbrd1"
"1",25067476,25829707,"-","Adgrb3"
"1",26681814,26687460,"-","4931408C20Rik"
"1",28776117,28780252,"-","Gm597"
"1",30802339,30873921,"-","Phf3"
"1",30940302,30949309,"-","Ptp4a1"
"1",30940302,30949770,"-","Ptp4a1"
"1",30977243,30977968,"-","AC153137.1"
"1",30997842,31222684,"-","4931428L18Rik"
"1",31176401,31204725,"+","Lgsn"
"1",31222838,31224288,"+","Pih1d3"
"1",32172714,32658568,"+","Khdrbs2"
"1",32543686,32547294,"-","Gm5415"
"1",33453810,33669795,"-","Prim2"
"1",33719887,33742564,"+","Rab23"
"1",33745484,33757795,"-","Bag2"
"1",33761545,33814595,"-","Zfp451"
"1",33852052,33907816,"-","Bend6"
"1",33908225,34308661,"+","Dst"
"1",34165856,34178446,"-","Gm26788"
"1",34436670,34439672,"-","Ccdc115"
"1",34439851,34449356,"+","Imp4"
"1",34459762,34475733,"+","Ptpn18"
"1",34468834,34473148,"-","Gm28417"
"1",34498410,34503063,"+","Prss39"
"1",34535648,34544313,"+","Cfc1"
"1",34543968,34560943,"-","Prss40"
"1",34579657,34590944,"+","Amer3"
"1",34678188,34813309,"+","Arhgef4"
"1",34813219,34843065,"-","Fam168b"
"1",34849976,34879580,"+","Plekhb2"
"1",36068400,36106446,"+","Hs6st1"
"1",36140027,36244720,"-","Uggt1"
"1",36264597,36274679,"-","Neurl3"
"1",36307733,36324029,"+","Arid5a"
"1",36335730,36369181,"-","Kansl3"
"1",36372291,36422110,"+","Fer1l5"
"1",36419871,36445271,"-","Lman2l"
"1",36471620,36508764,"+","Cnnm4"
"1",36511867,36528237,"+","Cnnm3"
"1",36530188,36536883,"-","Ankrd23"
"1",36530193,36539429,"-","Gm42417"
"1",36537507,36547445,"-","Ankrd39"
"1",36548639,36558349,"-","Sema4c"
"1",36557701,36565613,"+","D430040D24Rik"
"1",36562692,36683183,"-","Fam178b"
"1",36691449,36693681,"+","Cox5b"
"1",36698114,36714422,"-","Actr1b"
"1",36710149,36757953,"+","4933424G06Rik"
"1",36761798,36782818,"+","Zap70"
"1",36792191,36943666,"-","Tmem131"
"1",37026596,37187613,"+","Vwa3b"
"1",37214434,37263384,"+","Cnga3"
"1",37299865,37410736,"+","Inpp4a"
"1",37417084,37430103,"-","Coa5"
"1",37430139,37439124,"+","Unc50"
"1",37439340,37541016,"-","Mgat4a"
"1",37611677,37720085,"-","2010300C02Rik"
"1",37754776,37866429,"-","Tsga10"
"1",37871738,37876228,"+","Lipt1"
"1",37874801,37890411,"-","Mitd1"
"1",37890477,37898535,"+","Mrpl30"
"1",37905923,37916493,"-","Lyg2"
"1",37946736,37957759,"-","Lyg1"
"1",37985189,37997893,"-","Txndc9"
"1",37998010,38055579,"+","Eif5b"
"1",38052786,38129801,"-","Rev1"
"1",38177326,38664955,"-","Aff3"
"1",38793645,38836711,"-","Lonrf2"
"1",38863867,38898161,"-","Chst10"
"1",38939149,38950276,"+","Nms"
"1",38985608,38997238,"+","Pdcl3"
"1",39193731,39363236,"+","Npas2"
"1",39367842,39371911,"+","Rpl31"
"1",39371492,39478755,"-","Tbc1d8"
"1",39534992,39546889,"+","Cnot11"
"1",39547570,39552002,"-","Gm15832"
"1",39551296,39577405,"-","Rnf149"
"1",39618406,39651474,"-","Creg2"
"1",39665301,39720997,"-","Rfx8"
"1",39804148,39805332,"-","Gm3646"
"1",39900913,40026310,"+","Map4k4"
"1",40074079,40125231,"+","Il1r2"
"1",40225080,40317257,"+","Il1r1"
"1",40324610,40367562,"+","Il1rl2"
"1",40429570,40465415,"+","Il1rl1"
"1",40465552,40500854,"+","Il18r1"
"1",40515362,40551705,"+","Il18rap"
"1",40580081,40630725,"+","Slc9a4"
"1",40680574,40769273,"+","Slc9a2"
"1",40772038,40790687,"-","Mfsd9"
"1",40805601,40856887,"+","Tmem182"
"1",42695768,42703176,"+","Pou3f3"
"1",42707061,42713454,"-","Pantr2"
"1",42851233,42905683,"+","Mrps9"
"1",42952872,43035456,"+","Gpr45"
"1",43047200,43098637,"-","Tgfbrap1"
"1",43098710,43115947,"+","AI597479"
"1",43123074,43196984,"-","Fhl2"
"1",43444579,43570515,"+","Nck2"
"1",43730602,43742578,"+","1500015O10Rik"
"1",43746966,43827800,"-","Uxs1"
"1",43933647,44003000,"+","Tpp2"
"1",44009408,44020034,"-","Mettl21c"
"1",44055952,44061936,"-","Gm8251"
"1",44086613,44102441,"-","Tex30"
"1",44091463,44110790,"-","Gm29247"
"1",44106546,44118808,"-","Kdelc1"
"1",44118957,44144770,"+","Bivm"
"1",44147744,44181260,"+","Ercc5"
"1",44204070,44218961,"-","Mettl21e"
"1",44392809,44394447,"+","Gm28893"
"1",44551511,44796838,"+","Gulp1"
"1",45311538,45349706,"+","Col3a1"
"1",45374321,45503282,"-","Col5a2"
"1",45795166,45823619,"+","Wdr75"
"1",45889525,45890273,"-","Gm5269"
"1",45908068,45926523,"-","Slc40a1"
"1",46066315,46373546,"+","Dnah7b"
"1",46425592,46807476,"+","Dnah7c"
"1",46807544,46892852,"-","Slc39a10"
"1",50900647,51187270,"+","Tmeff2"
"1",51289126,51302960,"+","Cavin2"
"1",51465862,51478425,"-","Nabp1"
"1",51749765,51916071,"-","Myo1b"
"1",51987148,52107189,"+","Stat4"
"1",52077261,52156087,"+","Gm28177"
"1",52119440,52161865,"+","Stat1"
"1",52163448,52233232,"-","Gls"
"1",52457294,52500679,"-","Nab1"
"1",52630703,52651919,"+","Nemp2"
"1",52656286,52727462,"-","Mfsd6"
"1",52785427,52817688,"-","Inpp1"
"1",52844929,52920986,"+","Hibch"
"1",52922324,53020179,"-","1700019D03Rik"
"1",53061640,53068079,"+","Mstn"
"1",53158577,53187636,"-","1700019A02Rik"
"1",53189187,53297018,"-","Pms1"
"1",53297095,53310309,"+","Ormdl1"
"1",53297111,53318035,"+","Gm28778"
"1",53313624,53326343,"+","Osgepl1"
"1",53325507,53352667,"-","Gm28551"
"1",53344617,53352752,"-","Asnsd1"
"1",53397006,53706784,"-","Dnah7a"
"1",53755506,53785224,"-","Stk17b"
"1",53806876,54195168,"-","Hecw2"
"1",54250683,54368727,"+","Ccdc150"
"1",54396004,54438971,"-","Gtf3c3"
"1",54472994,54557684,"-","Pgap1"
"1",54645340,54926387,"-","Ankrd44"
"1",54985169,55027481,"-","Sf3b1"
"1",55052770,55072702,"+","Coq10b"
"1",55077835,55088243,"-","Hspd1"
"1",55088132,55091307,"+","Hspe1"
"1",55131231,55154899,"+","Mob4"
"1",55170159,55226782,"-","Rftn2"
"1",55237177,55248470,"+","Mars2"
"1",55248658,55363469,"-","Boll"
"1",55405921,55754285,"+","Plcl1"
"1",56636044,56637435,"-","Hsfy2"
"1",56793981,56978650,"-","Satb2"
"1",56971412,57050084,"+","9130024F11Rik"
"1",57377620,57385423,"+","1700066M21Rik"
"1",57388237,57407101,"-","Tyw5"
"1",57406328,57417953,"+","Maip1"
"1",57774162,57948394,"+","Spats2l"
"1",57955101,58018956,"-","Kctd18"
"1",57995971,58025899,"+","Sgo2a"
"1",58029931,58106413,"+","Aox1"
"1",58113130,58200698,"+","Aox3"
"1",58210397,58268597,"+","Aox4"
"1",58278326,58380259,"+","Aox2"
"1",58392898,58407353,"+","Bzw1"
"1",58410189,58424066,"-","Clk1"
"1",58430994,58445486,"-","Ppil3"
"1",58445151,58481816,"+","Nif3l1"
"1",58462771,58505109,"-","Orc2"
"1",58522806,58586323,"-","Fam126b"
"1",58586384,58595964,"+","Ndufb3"
"1",58646903,58695989,"-","Als2cr12"
"1",58711508,58758884,"+","Cflar"
"1",58795374,58847503,"+","Casp8"
"1",58900449,58973430,"-","Trak2"
"1",58973522,58995715,"+","Stradb"
"1",59050506,59094900,"-","C2cd6"
"1",59100590,59120408,"-","Tmem237"
"1",59120935,59163389,"-","Mpp4"
"1",59162926,59237231,"-","Als2"
"1",59256906,59352993,"+","Cdk15"
"1",59482424,59486955,"+","Fzd7"
"1",59516264,59636417,"+","Gm973"
"1",59586558,59670834,"-","Sumo1"
"1",59684971,59719044,"+","Nop58"
"1",59763400,59879014,"+","Bmpr2"
"1",59913006,59985346,"+","Fam117b"
"1",59982490,60043184,"-","Ica1l"
"1",60069785,60098645,"-","Wdr12"
"1",60098247,60153953,"+","Carf"
"1",60180599,60338328,"+","Nbeal1"
"1",60343323,60388060,"+","Cyp20a1"
"1",60409619,60481158,"+","Abi2"
"1",60482292,60567104,"-","Raph1"
"1",60716800,60773359,"+","Cd28"
"1",60887000,60915832,"+","Ctla4"
"1",60977927,61000320,"+","Icos"
"1",61638824,62642284,"+","Pard3b"
"1",62703285,62818695,"+","Nrp2"
"1",62958418,63114667,"-","Ino80d"
"1",63143596,63176833,"-","Ndufs1"
"1",63176825,63180486,"+","Eef1b2"
"1",63182691,63214543,"-","Gpr1"
"1",63200313,63207967,"+","Platr12"
"1",63273265,63314576,"+","Zdbf2"
"1",63445891,63596276,"+","Adam23"
"1",63615968,63620819,"+","Gm39653"
"1",63622851,63686927,"-","Dytn"
"1",63698819,63730318,"-","Mdh1b"
"1",63730614,63754655,"+","Fastkd2"
"1",63754907,63769267,"-","4933402D24Rik"
"1",64029447,64122282,"-","Klf7"
"1",64532645,64604548,"+","Creb1"
"1",64606473,64617242,"-","Mettl21a"
"1",64679871,64690659,"-","2810408I11Rik"
"1",64690455,64725644,"+","Ccnyl1"
"1",64730558,64737751,"-","Fzd5"
"1",64785983,64956824,"-","Plekhm3"
"1",65012689,65032759,"-","Akr1cl"
"1",65048554,65051149,"-","Cryge"
"1",65061872,65063452,"-","Crygd"
"1",65071525,65073689,"-","Crygc"
"1",65080219,65082288,"-","Crygb"
"1",65100389,65103373,"-","Cryga"
"1",65100619,65119558,"-","Gm28845"
"1",65105285,65123214,"-","D630023F18Rik"
"1",65158616,65186500,"-","Idh1"
"1",65186683,65278695,"+","Pikfyve"
"1",65282056,65389244,"+","Pth2r"
"1",65926520,65928307,"+","Crygf"
"1",66175273,66442583,"+","Map2"
"1",66468367,66699148,"+","Unc80"
"1",66700831,66719805,"+","Rpe"
"1",66719248,66817562,"-","Kansl1l"
"1",66830839,66863277,"-","Acadl"
"1",66924295,66945404,"-","Myl1"
"1",67000517,67038872,"-","Lancl1"
"1",67123026,67231259,"+","Cps1"
"1",68032186,69108059,"-","Erbb4"
"1",69531214,69687245,"-","Ikzf2"
"1",69826970,70725132,"+","Spag16"
"1",70725715,70885397,"+","Vwc2l"
"1",71027498,71103146,"-","Bard1"
"1",71242276,71414910,"-","Abca12"
"1",71557150,71579631,"+","Atic"
"1",71585520,71653200,"-","Fn1"
"1",72159442,72212307,"-","Mreg"
"1",72259167,72284314,"-","Pecr"
"1",72284369,72303104,"+","Tmem169"
"1",72307421,72394952,"+","Xrcc5"
"1",72427112,72536930,"-","March4"
"1",72583251,72633134,"+","Smarcal1"
"1",72642980,72700579,"-","Ankar"
"1",72711290,72713813,"+","Rpl37a"
"1",72824503,72852474,"+","Igfbp2"
"1",72857932,72874884,"-","Igfbp5"
"1",73015074,73015909,"-","Tnp1"
