#ccds	gene	gene_id	ccds_status	attribute
CCDS54.1	AJAP1	55966	Public	Nonsense-mediated decay (NMD) candidate
CCDS117.2	CORT	1325	Public	CDS uses downstream AUG
CCDS200.1	PLA2G2E	30814	Public	CDS uses downstream AUG
CCDS203.1	PLA2G2D	26279	Public	CDS uses downstream AUG
CCDS323.1	RCC1	1104	Public	CDS uses downstream AUG
CCDS369.2	FNDC5	252995	Public	Non-AUG initiation codon
CCDS380.1	CSMD2	114784	Public	Nonsense-mediated decay (NMD) candidate
CCDS431.1	MYCBP	26292	Public	CDS uses downstream AUG
CCDS486.2	MED8	112950	Public	Inferred exon combination
CCDS603.1	PCSK9	255738	Public	CDS uses downstream AUG
CCDS801.1	GPR61	83873	Public	Nonsense-mediated decay (NMD) candidate
CCDS816.1	CSF1	1435	Public	CDS uses downstream AUG
CCDS817.1	CSF1	1435	Public	CDS uses downstream AUG
CCDS871.1	SYT6	148281	Public	Nonsense-mediated decay (NMD) candidate
CCDS891.1	CD101	9398	Public	CDS uses downstream AUG
CCDS901.1	HAO2	51179	Public	CDS uses downstream AUG
CCDS903.1	HSD3B1	3283	Public	CDS uses downstream AUG
CCDS1041.2	S100A5	6276	Public	CDS uses downstream AUG
CCDS1044.1	S100A2	6273	Public	CDS uses downstream AUG
CCDS1080.1	LENEP	55891	Public	Nonsense-mediated decay (NMD) candidate
CCDS1102.1	GBA	2629	Public	CDS uses downstream AUG
CCDS1109.1	PKLR	5313	Public	CDS uses downstream AUG
CCDS1126.1	SSR2	6746	Public	CDS uses downstream AUG
CCDS1180.3	IFI16	3428	Public	CDS uses downstream AUG
CCDS1184.1	FCER1A	2205	Public	CDS uses downstream AUG
CCDS1229.2	MPZ	4359	Public	CDS uses downstream AUG
CCDS1387.1	CFHR5	81494	Public	CDS uses downstream AUG
CCDS1412.1	PHLDA3	23612	Public	Nonsense-mediated decay (NMD) candidate
CCDS1433.1	MYOG	4656	Public	CDS uses downstream AUG
CCDS1436.1	CHIT1	1118	Public	CDS uses downstream AUG
CCDS1538.1	TP53BP2	7159	Public	CDS uses downstream AUG
CCDS1618.1	KMO	8564	Public	CDS uses downstream AUG
CCDS1850.1	ACYP2	98	Public	CDS uses downstream AUG
CCDS1857.1	EFEMP1	2202	Public	CDS uses downstream AUG
CCDS1992.1	CD8A	925	Public	CDS uses downstream AUG
CCDS1993.1	CD8A	925	Public	CDS uses downstream AUG
CCDS2039.1	LIPT1	51601	Public	CDS uses downstream AUG
CCDS2056.1	IL1RL2	8808	Public	CDS uses downstream AUG
CCDS2068.1	C2orf49	79074	Public	CDS uses downstream AUG
CCDS2070.1	FHL2	2274	Public	CDS uses downstream AUG
CCDS2121.2	CCDC93	54520	Public	CDS uses downstream AUG
CCDS2182.1	LRP1B	53353	Public	CDS uses downstream AUG
CCDS2293.1	CALCRL	10203	Public	CDS uses downstream AUG
CCDS2331.1	CLK1	1195	Public	CDS uses downstream AUG
CCDS2395.1	IKZF2	22807	Public	CDS uses downstream AUG
CCDS2424.1	PRKAG3	53632	Public	Nonsense-mediated decay (NMD) candidate
CCDS2430.2	CCDC108	255101	Public	Inferred exon combination
CCDS2447.1	EPHA4	2043	Public	Nonsense-mediated decay (NMD) candidate
CCDS2481.1	SPATA3	130560	Public	Nonsense-mediated decay (NMD) candidate
CCDS2490.1	ALPP	250	Public	CDS uses downstream AUG
CCDS2533.1	OTOS	150677	Public	CDS uses downstream AUG
CCDS2788.1	QARS	5859	Public	CDS uses downstream AUG
CCDS2800.1	BSN	8927	Public	Nonsense-mediated decay (NMD) candidate
CCDS2833.1	TEX264	51368	Public	CDS uses downstream AUG
