"chrom","chromStart","chromEnd","strand","name"
"1",69091,70008,"+","OR4F5"
"1",450740,451678,"-","OR4F29"
"1",685716,686654,"-","OR4F16"
"1",925942,944153,"+","SAMD11"
"1",944694,959240,"-","NOC2L"
"1",960694,965191,"+","KLHL17"
"1",966532,974575,"+","PLEKHN1"
"1",976172,981029,"-","PERM1"
"1",999059,999973,"-","HES4"
"1",1013574,1014478,"+","ISG15"
"1",1020173,1054981,"+","AGRN"
"1",1071817,1072566,"-","RNF223"
"1",1082893,1091543,"-","C1orf159"
"1",1179216,1197847,"+","TTLL10"
"1",1180054,1185142,"+","TTLL10"
"1",1203591,1206571,"-","TNFRSF18"
"1",1203844,1206571,"-","TNFRSF18"
"1",1211555,1214127,"-","TNFRSF4"
"1",1217512,1228793,"-","SDF4"
"1",1217670,1228793,"-","SDF4"
"1",1232279,1233268,"+","B3GALT6"
"1",1242548,1246690,"-","C1QTNF12"
"1",1255203,1263361,"-","UBE2J2"
"1",1255203,1267992,"-","UBE2J2"
"1",1280662,1291610,"+","SCNN1D"
"1",1293564,1307815,"-","ACAP3"
"1",1308644,1311379,"+","PUSL1"
"1",1311859,1321034,"-","INTS11"
"1",1311859,1321953,"-","INTS11"
"1",1311859,1324608,"-","INTS11"
"1",1326911,1327763,"+","CPTP"
"1",1331346,1334464,"+","TAS1R3"
"1",1336142,1349065,"-","DVL1"
"1",1353301,1358504,"-","MXRA8"
"1",1353604,1358504,"-","MXRA8"
"1",1353604,1361263,"-","MXRA8"
"1",1373801,1374756,"-","AURKAIP1"
"1",1387231,1399306,"-","CCNL2"
"1",1392782,1399306,"-","CCNL2"
"1",1402083,1407217,"-","MRPL20"
"1",1419100,1421005,"-","ANKRD65"
"1",1419234,1421005,"-","ANKRD65"
"1",1419542,1421005,"-","ANKRD65"
"1",1426128,1427787,"+","TMEM88B"
"1",1435749,1437443,"+","VWA1"
"1",1435749,1439787,"+","VWA1"
"1",1450684,1468530,"+","ATAD3C"
"1",1471885,1495817,"+","ATAD3B"
"1",1512269,1534072,"+","ATAD3A"
"1",1516044,1534072,"+","ATAD3A"
"1",1535359,1540346,"-","TMEM240"
"1",1542066,1574557,"-","SSU72"
"1",1599335,1600015,"-","FNDC10"
"1",1615460,1630530,"+","MIB2"
"1",1623453,1630301,"+","MIB2"
"1",1632219,1634625,"+","MMP23B"
"1",1635764,1657264,"-","CDK11B"
"1",1635764,1657485,"-","CDK11B"
"1",1665782,1676699,"-","SLC35E2B"
"1",1702907,1722818,"-","CDK11A"
"1",1725414,1739557,"-","SLC35E2A"
"1",1732455,1739557,"-","SLC35E2A"
"1",1752904,1758531,"-","NADK"
"1",1752904,1765406,"-","NADK"
"1",1787331,1804548,"-","GNB1"
"1",1787331,1825453,"-","GNB1"
"1",1915281,1917193,"+","CALML6"
"1",1917882,1919265,"-","TMEM52"
"1",2019424,2030282,"+","GABRD"
"1",2050631,2185009,"+","PRKCZ"
"1",2074254,2185009,"+","PRKCZ"
"1",2144339,2185009,"+","PRKCZ"
"1",2185278,2194749,"-","FAAP20"
"1",2185471,2194749,"-","FAAP20"
"1",2189709,2194749,"-","FAAP20"
"1",2189777,2194749,"-","FAAP20"
"1",2228767,2306765,"+","SKI"
"1",2321383,2391533,"-","MORN1"
"1",2355448,2391533,"-","MORN1"
"1",2395791,2403124,"+","RER1"
"1",2405766,2412502,"-","PEX10"
"1",2476589,2505213,"+","PLCH2"
"1",2508847,2526611,"-","PANK4"
"1",2529469,2530164,"-","HES5"
"1",2556665,2563273,"+","TNFRSF14"
"1",2590990,2629484,"-","MMEL1"
"1",2641368,2789591,"-","TTC34"
"1",3021687,3022820,"+","ACTRT2"
"1",3069260,3433811,"+","PRDM16"
"1",3463085,3480587,"+","ARHGEF16"
"1",3490528,3611268,"-","MEGF6"
"1",3625073,3628603,"+","TPRG1L"
"1",3630975,3649999,"-","WRAP73"
"1",3682366,3732762,"+","TP73"
"1",3682366,3733079,"+","TP73"
"1",3690906,3731555,"+","TP73"
"1",3690906,3732762,"+","TP73"
"1",3690906,3733079,"+","TP73"
"1",3707576,3733079,"+","TP73"
"1",3752482,3771523,"+","CCDC27"
"1",3775374,3775921,"+","SMIM1"
"1",3781088,3796476,"-","LRRC47"
"1",3815402,3852407,"-","CEP104"
"1",3857604,3883741,"+","DFFB"
"1",3889960,3900186,"-","C1orf174"
"1",4655426,4774499,"+","AJAP1"
"1",5863265,5986289,"-","NPHP4"
"1",6040569,6098574,"+","KCNAB2"
"1",6051537,6098574,"+","KCNAB2"
"1",6082195,6098574,"+","KCNAB2"
"1",6106280,6180023,"-","CHD5"
"1",6186672,6199573,"-","RPL22"
"1",6206536,6219407,"+","RNF207"
