"chrom","chromStart","chromEnd","strand","name"
"1",69091,70008,"+","OR4F5"
"1",367659,368597,"+","OR4F29"
"1",621096,622034,"-","OR4F16"
"1",861322,879533,"+","SAMD11"
"1",880074,894620,"-","NOC2L"
"1",896074,900571,"+","KLHL17"
"1",901912,909955,"+","PLEKHN1"
"1",934439,935353,"-","HES4"
"1",948954,949858,"+","ISG15"
"1",955553,990361,"+","AGRN"
"1",1007197,1007946,"-","RNF223"
"1",1018273,1026923,"-","C1orf159"
"1",1114596,1133227,"+","TTLL10"
"1",1115434,1120522,"+","TTLL10"
"1",1138971,1141951,"-","TNFRSF18"
"1",1139224,1141951,"-","TNFRSF18"
"1",1146935,1149507,"-","TNFRSF4"
"1",1152892,1164173,"-","SDF4"
"1",1153050,1164173,"-","SDF4"
"1",1167659,1168648,"+","B3GALT6"
"1",1177928,1182070,"-","FAM132A"
"1",1190583,1198741,"-","UBE2J2"
"1",1190583,1203372,"-","UBE2J2"
"1",1216042,1226990,"+","SCNN1D"
"1",1228944,1243195,"-","ACAP3"
"1",1244024,1246759,"+","PUSL1"
"1",1247239,1256414,"-","CPSF3L"
"1",1247239,1257333,"-","CPSF3L"
"1",1247239,1259988,"-","CPSF3L"
"1",1262291,1263143,"+","GLTPD1"
"1",1266726,1269844,"+","TAS1R3"
"1",1271522,1284445,"-","DVL1"
"1",1288681,1293884,"-","MXRA8"
"1",1288984,1293884,"-","MXRA8"
"1",1288984,1296643,"-","MXRA8"
"1",1309181,1310136,"-","AURKAIP1"
"1",1322611,1334686,"-","CCNL2"
"1",1328162,1334686,"-","CCNL2"
"1",1337463,1342597,"-","MRPL20"
"1",1354480,1356385,"-","ANKRD65"
"1",1354614,1356385,"-","ANKRD65"
"1",1354922,1356385,"-","ANKRD65"
"1",1361508,1363167,"+","TMEM88B"
"1",1371129,1372823,"+","VWA1"
"1",1371129,1375167,"+","VWA1"
"1",1386064,1403910,"+","ATAD3C"
"1",1407265,1431197,"+","ATAD3B"
"1",1447649,1469452,"+","ATAD3A"
"1",1451424,1469452,"+","ATAD3A"
"1",1470739,1475726,"-","TMEM240"
"1",1477446,1509937,"-","SSU72"
"1",1534715,1535395,"-","C1orf233"
"1",1550840,1565910,"+","MIB2"
"1",1558833,1565681,"+","MIB2"
