#ccds	gene	gene_id	ccds_status	attribute
CCDS44.2	FAM213B	127281	Reviewed, update pending	CDS uses downstream AUG
CCDS54.1	AJAP1	55966	Public	Nonsense-mediated decay (NMD) candidate
CCDS117.2	CORT	1325	Public	CDS uses downstream AUG
CCDS126.1	EXOSC10	5394	Public	CDS uses downstream AUG
CCDS192.2	AKR7L	246181	Public	Polymorphic pseudogene
CCDS200.1	PLA2G2E	30814	Public	CDS uses downstream AUG
CCDS203.1	PLA2G2D	26279	Public	CDS uses downstream AUG
CCDS225.1	EPHA8	2046	Public	Inferred exon combination
CCDS323.1	RCC1	1104	Public	CDS uses downstream AUG
CCDS369.2	FNDC5	252995	Public	Non-AUG initiation codon
CCDS380.1	CSMD2	114784	Public	Nonsense-mediated decay (NMD) candidate
CCDS431.1	MYCBP	26292	Public	CDS uses downstream AUG
CCDS486.2	MED8	112950	Public	Inferred exon combination
CCDS538.1	MKNK1	8569	Reviewed, update pending	CDS uses downstream AUG
CCDS603.1	PCSK9	255738	Public	CDS uses downstream AUG
CCDS801.1	GPR61	83873	Public	Nonsense-mediated decay (NMD) candidate
CCDS816.1	CSF1	1435	Public	CDS uses downstream AUG
CCDS817.1	CSF1	1435	Public	CDS uses downstream AUG
CCDS871.1	SYT6	148281	Public	Nonsense-mediated decay (NMD) candidate
CCDS891.1	CD101	9398	Public	CDS uses downstream AUG
CCDS903.1	HSD3B1	3283	Public	CDS uses downstream AUG
CCDS955.1	ADAMTSL4	54507	Public	Inferred exon combination
CCDS1041.2	S100A5	6276	Public	CDS uses downstream AUG
CCDS1044.1	S100A2	6273	Public	CDS uses downstream AUG
CCDS1053.2	SLC27A3	11000	Under review, update	CDS uses downstream AUG
CCDS1080.1	LENEP	55891	Public	Nonsense-mediated decay (NMD) candidate
CCDS1102.1	GBA	2629	Public	CDS uses downstream AUG
CCDS1109.1	PKLR	5313	Public	CDS uses downstream AUG
CCDS1126.1	SSR2	6746	Public	CDS uses downstream AUG
CCDS1180.3	IFI16	3428	Public	CDS uses downstream AUG
CCDS1184.1	FCER1A	2205	Public	CDS uses downstream AUG
CCDS1229.2	MPZ	4359	Public	CDS uses downstream AUG
CCDS1387.1	CFHR5	81494	Public	CDS uses downstream AUG
CCDS1412.1	PHLDA3	23612	Public	Nonsense-mediated decay (NMD) candidate
CCDS1433.1	MYOG	4656	Public	CDS uses downstream AUG
CCDS1436.1	CHIT1	1118	Public	CDS uses downstream AUG
CCDS1538.1	TP53BP2	7159	Public	CDS uses downstream AUG
CCDS1618.1	KMO	8564	Public	CDS uses downstream AUG
CCDS1769.2	TOGARAM2	165186	Public	Inferred exon combination
CCDS1850.1	ACYP2	98	Public	CDS uses downstream AUG
CCDS1857.1	EFEMP1	2202	Public	CDS uses downstream AUG
CCDS1893.2	AAK1	22848	Public	Inferred exon combination
CCDS1992.1	CD8A	925	Public	CDS uses downstream AUG
CCDS1993.1	CD8A	925	Public	CDS uses downstream AUG
CCDS2039.1	LIPT1	51601	Public	CDS uses downstream AUG
CCDS2040.1	MITD1	129531	Public	CDS uses downstream AUG
CCDS2056.1	IL1RL2	8808	Public	CDS uses downstream AUG
CCDS2068.1	C2orf49	79074	Public	CDS uses downstream AUG
CCDS2070.1	FHL2	2274	Public	CDS uses downstream AUG
CCDS2121.2	CCDC93	54520	Public	CDS uses downstream AUG
CCDS2182.1	LRP1B	53353	Public	CDS uses downstream AUG
CCDS2209.2	BAZ2B	29994	Public	Inferred exon combination
CCDS2293.1	CALCRL	10203	Public	CDS uses downstream AUG
CCDS2331.1	CLK1	1195	Public	CDS uses downstream AUG
CCDS2387.2	UNC80	285175	Public	Inferred exon combination
CCDS2395.1	IKZF2	22807	Public	CDS uses downstream AUG
CCDS2424.1	PRKAG3	53632	Public	Nonsense-mediated decay (NMD) candidate
CCDS2430.2	CFAP65	255101	Public	Inferred exon combination
CCDS2447.1	EPHA4	2043	Public	Nonsense-mediated decay (NMD) candidate
CCDS2481.1	SPATA3	130560	Public	Nonsense-mediated decay (NMD) candidate
CCDS2490.1	ALPP	250	Public	CDS uses downstream AUG
CCDS2533.1	OTOS	150677	Public	CDS uses downstream AUG
CCDS2739.1	CCR5	1234	Public	Polymorphic pseudogene
CCDS2788.1	QARS	5859	Public	CDS uses downstream AUG
CCDS2800.1	BSN	8927	Public	Nonsense-mediated decay (NMD) candidate
CCDS2833.1	TEX264	51368	Public	CDS uses downstream AUG
CCDS2942.1	PCNP	57092	Public	CDS uses downstream AUG
CCDS3198.1	BCHE	590	Public	CDS uses downstream AUG
CCDS3243.1	MCF2L2	23101	Public	Inferred exon combination
CCDS3265.1	THPO	7066	Public	CDS uses downstream AUG
CCDS3320.2	PIGX	54965	Public	Non-AUG initiation codon
CCDS3440.2	STIM2	57620	Public	CDS uses downstream AUG
CCDS3440.2	STIM2	57620	Public	Non-AUG initiation codon
CCDS3539.1	CABS1	85438	Public	Nonsense-mediated decay (NMD) candidate
CCDS3647.1	ADH6	130	Public	Inferred exon combination
CCDS3651.1	MTTP	4547	Public	Inferred exon combination
CCDS3678.1	HADH	3033	Public	CDS uses downstream AUG
CCDS3700.2	ZGRF1	55345	Public	Inferred exon combination
CCDS3732.3	FAT4	79633	Public	Inferred exon combination
CCDS3738.1	LARP1B	55132	Public	Inferred exon combination
CCDS3783.2	TMEM131L	23240	Public	Inferred exon combination
CCDS3854.1	PDCD6	10016	Public	CDS uses downstream AUG
CCDS3936.1	C6	729	Public	CDS uses downstream AUG
CCDS3944.1	CCL28	56477	Public	Nonsense-mediated decay (NMD) candidate
CCDS4122.2	ATG12	9140	Public	CDS uses downstream AUG
CCDS4123.1	AP3S1	1176	Public	CDS uses downstream AUG
CCDS4137.2	ALDH7A1	501	Public	CDS uses downstream AUG
CCDS4305.1	SLC6A7	6534	Public	CDS uses downstream AUG
CCDS4397.1	THOC3	84321	Public	CDS uses downstream AUG
CCDS4442.1	GRM6	2916	Public	Inferred exon combination
CCDS4483.2	BPHL	670	Public	CDS uses downstream AUG
CCDS4510.1	TFAP2A	7020	Public	CDS uses downstream AUG
CCDS4519.1	ERVFRD-1	405754	Public	Endogenous retrovirus
CCDS4726.1	EHMT2	10919	Public	Inferred exon combination
CCDS4746.1	AGER	177	Public	CDS uses downstream AUG
CCDS4747.1	AGER	177	Public	CDS uses downstream AUG
CCDS4852.1	TREM2	54209	Public	CDS uses downstream AUG
CCDS4853.2	TREML2	79865	Public	CDS uses downstream AUG
CCDS4855.1	NCR2	9436	Public	CDS uses downstream AUG
CCDS4907.2	VEGFA	7422	Public	Non-AUG initiation codon
CCDS4941.1	PAQR8	85315	Public	CDS uses downstream AUG
CCDS4946.1	GSTA5	221357	Public	Inferred exon combination
CCDS5020.3	GABRR2	2570	Public	CDS uses downstream AUG
CCDS5060.2	SCML4	256380	Public	Inferred exon combination
CCDS5071.1	CEP57L1	285753	Public	CDS uses downstream AUG
CCDS5350.1	DAGLB	221955	Public	CDS uses downstream AUG
CCDS5355.1	C1GALT1	56913	Public	CDS uses downstream AUG
CCDS5451.1	GPR141	353345	Public	CDS uses downstream AUG
CCDS5453.1	SFRP4	6424	Public	CDS uses downstream AUG
CCDS5454.2	EPDR1	54749	Public	CDS uses downstream AUG
CCDS5516.1	EGFR	1956	Public	Inferred exon combination
CCDS5529.1	VKORC1L1	154807	Public	CDS uses downstream AUG
CCDS5626.1	ERVW-1	30816	Public	Endogenous retrovirus
CCDS5640.1	PON2	5445	Public	CDS uses downstream AUG
CCDS5722.1	ORAI2	80228	Public	CDS uses downstream AUG
CCDS5732.1	SLC26A5	375611	Public	Inferred exon combination
CCDS5841.1	FAM180A	389558	Public	Nonsense-mediated decay (NMD) candidate
CCDS5874.2	TRPV6	55503	Public	Non-AUG initiation codon
CCDS5925.2	WDR86	349136	Public	Inferred exon combination
CCDS5942.1	SHH	6469	Public	CDS uses downstream AUG
CCDS5964.1	SPAG11B	10407	Public	CDS uses downstream AUG
CCDS5965.1	SPAG11B	10407	Public	CDS uses downstream AUG
CCDS5966.1	SPAG11B	10407	Public	CDS uses downstream AUG
CCDS5967.1	SPAG11B	10407	Public	CDS uses downstream AUG
CCDS6037.1	TNFRSF10C	8794	Public	CDS uses downstream AUG
CCDS6077.1	RBPMS	11030	Public	Nonsense-mediated decay (NMD) candidate
CCDS6114.2	IDO2	169355	Public	Inferred exon combination
CCDS6326.1	TNFRSF11B	4982	Public	CDS uses downstream AUG
CCDS6359.2	MYC	4609	Public	Non-AUG initiation codon
CCDS6380.1	AGO2	27161	Public	Inferred exon combination
CCDS6385.2	LY6K	54742	Public	CDS uses downstream AUG
CCDS6397.2	ZFP41	286128	Public	Nonsense-mediated decay (NMD) candidate
CCDS6511.2	CDKN2A	1029	Public	CDS uses downstream AUG
CCDS6511.2	CDKN2A	1029	Public	Nonsense-mediated decay (NMD) candidate
