MutationType	PD3851a	PD3890a	PD3904a	PD3905a	PD3945a	PD4005a	PD4006a	PD4085a	PD4086a	PD4088a	PD4103a	PD4107a	PD4109a	PD4115a	PD4116a	PD4120a	PD4192a	PD4194a	PD4198a	PD4199a	PD4248a	breast_genomes_all_indels	breast_genomes_all_subs_simple_2
T:C>A	67	181	240	136	432	170	350	109	58	66	195	370	345	366	322	971	101	54	163	156	87	0	0
T:C>G	35	319	194	196	333	359	334	35	108	35	130	292	441	322	321	5813	179	49	115	498	59	0	0
T:C>T	124	268	328	222	427	324	305	145	133	119	463	476	612	422	374	7464	222	112	276	722	148	0	0
T:T>A	40	129	109	119	301	69	237	59	39	32	80	248	214	289	207	131	75	31	110	51	65	0	0
T:T>C	51	143	151	117	287	138	248	94	73	40	123	284	316	314	203	187	107	53	143	78	78	0	0
T:T>G	26	116	76	79	156	84	165	27	33	17	59	175	118	190	131	106	50	12	71	33	36	0	0
U:C>A	53	149	193	121	329	175	294	85	40	56	156	309	277	333	253	1006	90	34	103	138	66	0	0
U:C>G	31	279	203	196	287	339	342	55	111	46	176	301	424	299	325	6125	213	51	86	457	64	0	0
U:C>T	108	240	311	190	396	350	335	186	137	120	421	488	572	430	348	7892	216	124	294	716	145	0	0
U:T>A	36	117	116	93	294	92	233	59	32	23	94	225	209	237	218	114	85	30	115	47	49	0	0
U:T>C	47	147	116	124	307	137	272	71	56	49	113	270	252	286	222	171	101	30	116	72	78	0	0
U:T>G	30	147	81	79	192	97	177	49	35	23	58	185	125	211	132	118	89	16	73	33	44	0	0
B:C>A	1	4	6	1	6	1	4	1	1	1	4	4	6	2	5	23	1	1	2	4	2	0	0
B:C>G	1	5	1	5	4	8	11	0	1	3	4	7	9	4	2	116	2	2	0	19	0	0	0
B:C>T	0	5	5	9	9	10	6	3	3	7	10	3	11	10	5	170	6	1	7	12	3	0	0
B:T>A	0	2	2	2	3	3	4	0	1	1	1	1	3	6	5	4	0	1	4	1	0	0	0
B:T>C	1	2	3	2	2	6	6	1	0	1	2	5	3	4	3	3	2	0	2	2	3	0	0
B:T>G	0	2	0	4	5	1	1	2	0	1	0	2	3	4	6	2	1	0	0	0	1	0	0
N:C>A	229	672	713	582	1441	622	1256	349	216	277	619	1431	1001	1345	1057	2679	350	130	472	444	322	0	0
N:C>G	100	780	587	516	1023	1015	1005	154	286	120	459	912	1171	908	972	15386	472	137	347	1153	185	0	0
N:C>T	392	891	1033	649	1351	1045	1147	561	410	424	1282	1642	1840	1317	967	20838	664	377	1009	1872	470	0	0
N:T>A	152	505	451	430	1114	367	980	223	138	80	303	1015	673	978	767	490	285	82	383	159	201	0	0
N:T>C	169	575	440	433	1028	429	908	287	191	122	398	1073	874	1048	751	578	323	114	448	200	292	0	0
N:T>G	89	446	249	282	581	263	574	118	97	42	210	573	389	629	430	303	285	43	213	65	138	0	0
