"chrom","start","end","strand","Ensembl.gene.ID","gene.name"
"1",65419,71585,"+","ENSG00000186092","OR4F5"
"1",367640,368634,"+","ENSG00000235249","OR4F29"
"1",621059,622053,"-","ENSG00000284662","OR4F16"
"1",859308,879961,"+","ENSG00000187634","SAMD11"
"1",879583,894689,"-","ENSG00000188976","NOC2L"
"1",895964,901099,"+","ENSG00000187961","KLHL17"
"1",901877,911245,"+","ENSG00000187583","PLEKHN1"
"1",910584,917473,"-","ENSG00000187642","PERM1"
"1",934342,935552,"-","ENSG00000188290","HES4"
"1",936518,949920,"+","ENSG00000187608","ISG15"
"1",955500,991498,"+","ENSG00000188157","AGRN"
"1",1006347,1009686,"-","ENSG00000237330","RNF223"
"1",1017198,1051741,"-","ENSG00000131591","C1orf159"
"1",1109264,1133315,"+","ENSG00000162571","TTLL10"
"1",1138888,1141972,"-","ENSG00000186891","TNFRSF18"
"1",1146720,1149533,"-","ENSG00000186827","TNFRSF4"
"1",1152288,1167411,"-","ENSG00000078808","SDF4"
"1",1167606,1170421,"+","ENSG00000176022","B3GALT6"
"1",1177826,1182102,"-","ENSG00000184163","C1QTNF12"
"1",1189289,1209265,"-","ENSG00000160087","UBE2J2"
"1",1215816,1227409,"+","ENSG00000162572","SCNN1D"
"1",1227770,1244989,"-","ENSG00000131584","ACAP3"
"1",1243977,1247057,"+","ENSG00000169972","PUSL1"
"1",1246965,1260071,"-","ENSG00000127054","INTS11"
"1",1260136,1264276,"+","ENSG00000224051","CPTP"
"1",1266660,1270694,"+","ENSG00000169962","TAS1R3"
"1",1270656,1284798,"-","ENSG00000107404","DVL1"
"1",1288069,1297157,"-","ENSG00000162576","MXRA8"
"1",1309110,1310875,"-","ENSG00000175756","AURKAIP1"
"1",1321091,1334715,"-","ENSG00000221978","CCNL2"
"1",1337289,1342673,"-","ENSG00000242485","MRPL20"
"1",1353800,1357149,"-","ENSG00000235098","ANKRD65"
"1",1361508,1363167,"+","ENSG00000205116","TMEM88B"
"1",1370241,1378262,"+","ENSG00000179403","VWA1"
"1",1385069,1405538,"+","ENSG00000215915","ATAD3C"
"1",1407149,1433228,"+","ENSG00000160072","ATAD3B"
"1",1447531,1470067,"+","ENSG00000197785","ATAD3A"
"1",1470158,1476004,"-","ENSG00000205090","TMEM240"
"1",1477053,1510243,"-","ENSG00000160075","SSU72"
"1",1533392,1535515,"-","ENSG00000228594","FNDC10"
"1",1550795,1565990,"+","ENSG00000197530","MIB2"
"1",1567474,1570639,"+","ENSG00000189409","MMP23B"
"1",1570603,1590473,"-","ENSG00000248333","CDK11B"
"1",1590990,1624167,"-","ENSG00000189339","SLC35E2B"
"1",1633818,1655796,"-","ENSG00000008128","CDK11A"
"1",1656277,1677438,"-","ENSG00000215790","SLC35E2A"
"1",1682671,1711896,"-","ENSG00000008130","NADK"
"1",1716724,1822556,"-","ENSG00000078369","GNB1"
"1",1846547,1848735,"+","ENSG00000169885","CALML6"
"1",1849029,1850718,"-","ENSG00000178821","TMEM52"
"1",1950768,1962197,"+","ENSG00000187730","GABRD"
"1",1981850,2116834,"+","ENSG00000067606","PRKCZ"
"1",2115900,2144159,"-","ENSG00000162585","FAAP20"
"1",2159758,2241652,"+","ENSG00000157933","SKI"
"1",2252692,2323146,"-","ENSG00000116151","MORN1"
"1",2323214,2336881,"+","ENSG00000157916","RER1"
"1",2335403,2345236,"-","ENSG00000157911","PEX10"
"1",2357419,2436971,"+","ENSG00000149527","PLCH2"
"1",2439970,2458067,"-","ENSG00000157881","PANK4"
"1",2460184,2461702,"-","ENSG00000197921","HES5"
"1",2487078,2496821,"+","ENSG00000157873","TNFRSF14"
"1",2522078,2564455,"-","ENSG00000142606","MMEL1"
"1",2567415,2718282,"-","ENSG00000215912","TTC34"
"1",2938047,2939467,"+","ENSG00000169717","ACTRT2"
"1",2985732,3355185,"+","ENSG00000142611","PRDM16"
"1",3371229,3397677,"+","ENSG00000130762","ARHGEF16"
"1",3404515,3528072,"-","ENSG00000162591","MEGF6"
"1",3541579,3546691,"+","ENSG00000158109","TPRG1L"
"1",3547331,3569325,"-","ENSG00000116213","WRAP73"
"1",3569080,3652765,"+","ENSG00000078900","TP73"
"1",3663024,3688209,"+","ENSG00000162592","CCDC27"
"1",3689325,3692546,"+","ENSG00000235169","SMIM1"
"1",3695123,3713062,"-","ENSG00000130764","LRRC47"
"1",3728650,3773778,"-","ENSG00000116198","CEP104"
"1",3773831,3801993,"+","ENSG00000169598","DFFB"
"1",3805689,3816857,"-","ENSG00000198912","C1orf174"
"1",4714792,4852594,"+","ENSG00000196581","AJAP1"
"1",5922871,6052533,"-","ENSG00000131697","NPHP4"
"1",6051526,6161253,"+","ENSG00000069424","KCNAB2"
"1",6161847,6240381,"-","ENSG00000116254","CHD5"
"1",6245080,6269449,"-","ENSG00000116251","RPL22"
"1",6265535,6281359,"+","ENSG00000158286","RNF207"
"1",6281253,6296032,"-","ENSG00000116237","ICMT"
"1",6304252,6305638,"+","ENSG00000173673","HES3"
"1",6307413,6321158,"-","ENSG00000158292","GPR153"
"1",6324329,6454451,"-","ENSG00000097021","ACOT7"
"1",6472478,6484730,"-","ENSG00000069812","HES2"
"1",6484836,6521427,"+","ENSG00000187017","ESPN"
"1",6520846,6526255,"-","ENSG00000215788","TNFRSF25"
"1",6526152,6580121,"-","ENSG00000171680","PLEKHG5"
"1",6581407,6614573,"-","ENSG00000162408","NOL9"
"1",6615367,6639815,"+","ENSG00000173662","TAS1R1"
"1",6640054,6649340,"+","ENSG00000204859","ZBTB48"
"1",6650784,6674667,"-","ENSG00000162413","KLHL21"
"1",6673791,6684090,"+","ENSG00000116273","PHF13"
"1",6684926,6695646,"+","ENSG00000041988","THAP3"
"1",6694228,6761984,"-","ENSG00000007923","DNAJC11"
"1",6845514,7829766,"+","ENSG00000171735","CAMTA1"
"1",7831356,7841492,"+","ENSG00000049245","VAMP3"
"1",7844380,7905237,"+","ENSG00000049246","PER3"
"1",7903143,7913572,"-","ENSG00000049247","UTS2"
"1",7975954,8003225,"-","ENSG00000049249","TNFRSF9"
"1",8014351,8045565,"+","ENSG00000116288","PARK7"
"1",8064464,8086369,"-","ENSG00000116285","ERRFI1"
"1",8377886,8404227,"+","ENSG00000162426","SLC45A1"
"1",8412457,8877699,"-","ENSG00000142599","RERE"
"1",8921059,8939309,"-","ENSG00000074800","ENO1"
"1",9005926,9035151,"+","ENSG00000131686","CA6"
"1",9063359,9086404,"-","ENSG00000197241","SLC2A7"
"1",9095166,9148537,"-","ENSG00000142583","SLC2A5"
"1",9160364,9189161,"-","ENSG00000180758","GPR157"
"1",9294834,9331396,"+","ENSG00000049239","H6PD"
"1",9352953,9429591,"+","ENSG00000171621","SPSB1"
"1",9599524,9645231,"+","ENSG00000171612","SLC25A33"
"1",9648969,9674935,"+","ENSG00000188807","TMEM201"
"1",9711790,9789172,"+","ENSG00000171608","PIK3CD"
"1",9789084,9884584,"-","ENSG00000171603","CLSTN1"
"1",9908334,9970394,"-","ENSG00000178585","CTNNBIP1"
"1",9982171,10003465,"-","ENSG00000162441","LZIC"
