"chrom","start","end","strand","gene.name"
"1",65419,71585,"+","OR4F5"
"1",450703,451697,"-","OR4F29"
"1",685679,686673,"-","OR4F16"
"1",923928,944581,"+","SAMD11"
"1",944204,959309,"-","NOC2L"
"1",960587,965715,"+","KLHL17"
"1",966497,975865,"+","PLEKHN1"
"1",975204,982093,"-","PERM1"
"1",998962,1000172,"-","HES4"
"1",1001138,1014541,"+","ISG15"
"1",1020123,1056118,"+","AGRN"
"1",1070966,1074307,"-","RNF223"
"1",1081818,1116361,"-","C1orf159"
"1",1173884,1197935,"+","TTLL10"
"1",1203508,1206691,"-","TNFRSF18"
"1",1211326,1214138,"-","TNFRSF4"
"1",1216908,1232031,"-","SDF4"
"1",1232265,1235041,"+","B3GALT6"
"1",1242446,1246722,"-","C1QTNF12"
"1",1253909,1273885,"-","UBE2J2"
"1",1280436,1292029,"+","SCNN1D"
"1",1292376,1309609,"-","ACAP3"
"1",1308567,1311677,"+","PUSL1"
"1",1311585,1324691,"-","INTS11"
"1",1324756,1328897,"+","CPTP"
"1",1331314,1335306,"+","TAS1R3"
"1",1335276,1349350,"-","DVL1"
"1",1352689,1361777,"-","MXRA8"
"1",1373730,1375495,"-","AURKAIP1"
"1",1385711,1399328,"-","CCNL2"
"1",1401908,1407313,"-","MRPL20"
"1",1418420,1421769,"-","ANKRD65"
"1",1426128,1427787,"+","TMEM88B"
"1",1434861,1442882,"+","VWA1"
"1",1449689,1470158,"+","ATAD3C"
"1",1471769,1497848,"+","ATAD3B"
"1",1512151,1534687,"+","ATAD3A"
"1",1535174,1540453,"-","TMEM240"
"1",1541673,1574869,"-","SSU72"
"1",1598012,1600096,"-","C1orf233"
"1",1615415,1630610,"+","MIB2"
"1",1632095,1635263,"+","MMP23B"
"1",1635227,1659012,"-","CDK11B"
"1",1659529,1692728,"-","SLC35E2B"
"1",1702730,1724324,"-","CDK11A"
"1",1724838,1745999,"-","SLC35E2"
"1",1751232,1780457,"-","NADK"
"1",1785285,1891117,"-","GNB1"
"1",1914827,1917296,"+","CALML6"
"1",1917590,1919273,"-","TMEM52"
"1",2019298,2030758,"+","GABRD"
"1",2050470,2185395,"+","PRKCZ"
