"chrom","start","end","strand","Ensembl.gene.ID","gene.name"
"1",65419,71585,"+","ENSG00000186092","OR4F5"
"1",450703,451697,"-","ENSG00000284733","OR4F29"
"1",685679,686673,"-","ENSG00000284662","OR4F16"
"1",923928,944581,"+","ENSG00000187634","SAMD11"
"1",944203,959309,"-","ENSG00000188976","NOC2L"
"1",960584,965719,"+","ENSG00000187961","KLHL17"
"1",966497,975865,"+","ENSG00000187583","PLEKHN1"
"1",975204,982093,"-","ENSG00000187642","PERM1"
"1",998962,1000172,"-","ENSG00000188290","HES4"
"1",1001138,1014540,"+","ENSG00000187608","ISG15"
"1",1020120,1056118,"+","ENSG00000188157","AGRN"
"1",1070967,1074306,"-","ENSG00000237330","RNF223"
"1",1081818,1116361,"-","ENSG00000131591","C1orf159"
"1",1173884,1197935,"+","ENSG00000162571","TTLL10"
"1",1203508,1206592,"-","ENSG00000186891","TNFRSF18"
"1",1211340,1214153,"-","ENSG00000186827","TNFRSF4"
"1",1216908,1232031,"-","ENSG00000078808","SDF4"
"1",1232226,1235041,"+","ENSG00000176022","B3GALT6"
"1",1242446,1246722,"-","ENSG00000184163","C1QTNF12"
"1",1253909,1273885,"-","ENSG00000160087","UBE2J2"
"1",1280436,1292029,"+","ENSG00000162572","SCNN1D"
"1",1292390,1309609,"-","ENSG00000131584","ACAP3"
"1",1308597,1311677,"+","ENSG00000169972","PUSL1"
"1",1311585,1324691,"-","ENSG00000127054","INTS11"
"1",1324756,1328896,"+","ENSG00000224051","CPTP"
"1",1331280,1335314,"+","ENSG00000169962","TAS1R3"
"1",1335276,1349418,"-","ENSG00000107404","DVL1"
"1",1352689,1361777,"-","ENSG00000162576","MXRA8"
"1",1373730,1375495,"-","ENSG00000175756","AURKAIP1"
"1",1385711,1399335,"-","ENSG00000221978","CCNL2"
"1",1401909,1407293,"-","ENSG00000242485","MRPL20"
"1",1418420,1421769,"-","ENSG00000235098","ANKRD65"
"1",1426128,1427787,"+","ENSG00000205116","TMEM88B"
"1",1434861,1442882,"+","ENSG00000179403","VWA1"
"1",1449689,1470158,"+","ENSG00000215915","ATAD3C"
"1",1471769,1497848,"+","ENSG00000160072","ATAD3B"
"1",1512151,1534687,"+","ENSG00000197785","ATAD3A"
"1",1534778,1540624,"-","ENSG00000205090","TMEM240"
"1",1541673,1574863,"-","ENSG00000160075","SSU72"
"1",1598012,1600135,"-","ENSG00000228594","FNDC10"
"1",1615415,1630610,"+","ENSG00000197530","MIB2"
"1",1632095,1635263,"+","ENSG00000189409","MMP23B"
"1",1635227,1659012,"-","ENSG00000248333","CDK11B"
"1",1659529,1692728,"-","ENSG00000189339","SLC35E2B"
"1",1702379,1724357,"-","ENSG00000008128","CDK11A"
"1",1724838,1745999,"-","ENSG00000215790","SLC35E2A"
"1",1751232,1780457,"-","ENSG00000008130","NADK"
"1",1785285,1891117,"-","ENSG00000078369","GNB1"
"1",1915108,1917296,"+","ENSG00000169885","CALML6"
"1",1917590,1919279,"-","ENSG00000178821","TMEM52"
"1",2019329,2030758,"+","ENSG00000187730","GABRD"
"1",2050411,2185395,"+","ENSG00000067606","PRKCZ"
"1",2184461,2212720,"-","ENSG00000162585","FAAP20"
"1",2228319,2310213,"+","ENSG00000157933","SKI"
"1",2321253,2391707,"-","ENSG00000116151","MORN1"
"1",2391775,2405442,"+","ENSG00000157916","RER1"
"1",2403964,2413797,"-","ENSG00000157911","PEX10"
"1",2425980,2505532,"+","ENSG00000149527","PLCH2"
"1",2508531,2526628,"-","ENSG00000157881","PANK4"
"1",2528745,2530263,"-","ENSG00000197921","HES5"
"1",2555639,2565382,"+","ENSG00000157873","TNFRSF14"
"1",2590639,2633016,"-","ENSG00000142606","MMEL1"
"1",2635976,2801717,"-","ENSG00000215912","TTC34"
"1",3021483,3022903,"+","ENSG00000169717","ACTRT2"
"1",3069168,3438621,"+","ENSG00000142611","PRDM16"
"1",3454665,3481113,"+","ENSG00000130762","ARHGEF16"
"1",3487951,3611508,"-","ENSG00000162591","MEGF6"
"1",3625015,3630127,"+","ENSG00000158109","TPRG1L"
"1",3630767,3652761,"-","ENSG00000116213","WRAP73"
"1",3652516,3736201,"+","ENSG00000078900","TP73"
"1",3746460,3771645,"+","ENSG00000162592","CCDC27"
"1",3772761,3775982,"+","ENSG00000235169","SMIM1"
"1",3778559,3796498,"-","ENSG00000130764","LRRC47"
"1",3812086,3857214,"-","ENSG00000116198","CEP104"
"1",3857267,3885429,"+","ENSG00000169598","DFFB"
"1",3889125,3900293,"-","ENSG00000198912","C1orf174"
"1",4654732,4792534,"+","ENSG00000196581","AJAP1"
"1",5862811,5992473,"-","ENSG00000131697","NPHP4"
"1",5991466,6101193,"+","ENSG00000069424","KCNAB2"
"1",6101787,6180321,"-","ENSG00000116254","CHD5"
"1",6185020,6209389,"-","ENSG00000116251","RPL22"
"1",6205475,6221299,"+","ENSG00000158286","RNF207"
"1",6221193,6235972,"-","ENSG00000116237","ICMT"
"1",6244192,6245578,"+","ENSG00000173673","HES3"
"1",6247353,6261098,"-","ENSG00000158292","GPR153"
"1",6264269,6394391,"-","ENSG00000097021","ACOT7"
"1",6412418,6424670,"-","ENSG00000069812","HES2"
"1",6424776,6461367,"+","ENSG00000187017","ESPN"
"1",6460786,6466195,"-","ENSG00000215788","TNFRSF25"
"1",6466092,6520061,"-","ENSG00000171680","PLEKHG5"
"1",6521347,6554513,"-","ENSG00000162408","NOL9"
"1",6555307,6579755,"+","ENSG00000173662","TAS1R1"
"1",6579994,6589280,"+","ENSG00000204859","ZBTB48"
"1",6590724,6614607,"-","ENSG00000162413","KLHL21"
"1",6613731,6624030,"+","ENSG00000116273","PHF13"
"1",6624866,6635586,"+","ENSG00000041988","THAP3"
"1",6634168,6701924,"-","ENSG00000007923","DNAJC11"
"1",6785454,7769706,"+","ENSG00000171735","CAMTA1"
"1",7771296,7781432,"+","ENSG00000049245","VAMP3"
"1",7784320,7845177,"+","ENSG00000049246","PER3"
"1",7843083,7853512,"-","ENSG00000049247","UTS2"
"1",7915894,7943165,"-","ENSG00000049249","TNFRSF9"
"1",7954291,7985505,"+","ENSG00000116288","PARK7"
"1",8004404,8026309,"-","ENSG00000116285","ERRFI1"
"1",8317826,8344167,"+","ENSG00000162426","SLC45A1"
"1",8352397,8817640,"-","ENSG00000142599","RERE"
"1",8861000,8879250,"-","ENSG00000074800","ENO1"
"1",8945867,8975092,"+","ENSG00000131686","CA6"
"1",9003300,9026345,"-","ENSG00000197241","SLC2A7"
"1",9035107,9088478,"-","ENSG00000142583","SLC2A5"
"1",9100305,9129102,"-","ENSG00000180758","GPR157"
"1",9234775,9271337,"+","ENSG00000049239","H6PD"
"1",9292894,9369532,"+","ENSG00000171621","SPSB1"
"1",9539465,9585173,"+","ENSG00000171612","SLC25A33"
"1",9588911,9614877,"+","ENSG00000188807","TMEM201"
"1",9651732,9729114,"+","ENSG00000171608","PIK3CD"
"1",9729026,9824526,"-","ENSG00000171603","CLSTN1"
"1",9848276,9910336,"-","ENSG00000178585","CTNNBIP1"
"1",9922113,9943407,"-","ENSG00000162441","LZIC"
"1",9943428,9985501,"+","ENSG00000173614","NMNAT1"
"1",9997206,10016021,"+","ENSG00000162444","RBP7"
"1",10032832,10181239,"+","ENSG00000130939","UBE4B"
"1",10210805,10381603,"+","ENSG00000054523","KIF1B"
"1",10398592,10420511,"+","ENSG00000142657","PGD"
"1",10430102,10452153,"+","ENSG00000251503","CENPS-CORT"
"1",10430433,10442808,"+","ENSG00000175279","CENPS"
"1",10449719,10451902,"+","ENSG00000241563","CORT"
"1",10456522,10472529,"-","ENSG00000160049","DFFA"
"1",10472288,10630758,"+","ENSG00000142655","PEX14"
"1",10636604,10796650,"-","ENSG00000130940","CASZ1"
"1",10946471,10982037,"-","ENSG00000175262","C1orf127"
"1",11012344,11026420,"+","ENSG00000120948","TARDBP"
"1",11026523,11047233,"-","ENSG00000009724","MASP2"
"1",11054584,11060020,"-","ENSG00000116649","SRM"
"1",11066618,11099869,"-","ENSG00000171824","EXOSC10"
"1",11106535,11262507,"-","ENSG00000198793","MTOR"
"1",11189355,11195981,"+","ENSG00000171819","ANGPTL7"
