"chrom","start","end","strand","Ensembl.gene.ID","gene.name"
"1",3205901,3671498,"-","ENSMUSG00000051951","Xkr4"
"1",3999557,4409241,"-","ENSMUSG00000025900","Rp1"
"1",4490931,4497354,"-","ENSMUSG00000025902","Sox17"
"1",4773206,4785739,"-","ENSMUSG00000033845","Mrpl15"
"1",4807788,4848410,"+","ENSMUSG00000025903","Lypla1"
"1",4857814,4897909,"+","ENSMUSG00000033813","Tcea1"
"1",4909576,5070285,"-","ENSMUSG00000002459","Rgs20"
"1",5070018,5162529,"+","ENSMUSG00000033793","Atp6v1h"
"1",5588466,5606131,"+","ENSMUSG00000025905","Oprk1"
"1",5913707,5917398,"-","ENSMUSG00000033774","Npbwr1"
"1",6206197,6276648,"+","ENSMUSG00000025907","Rb1cc1"
"1",6359218,6394731,"+","ENSMUSG00000087247","Alkal1"
"1",6487231,6860940,"+","ENSMUSG00000033740","St18"
"1",7088920,7173628,"+","ENSMUSG00000051285","Pcmtd1"
"1",8361475,9299878,"-","ENSMUSG00000025909","Sntg1"
"1",9545408,9547455,"+","ENSMUSG00000061024","Rrs1"
"1",9547948,9580673,"+","ENSMUSG00000025911","Adhfe1"
"1",9601199,9627143,"+","ENSMUSG00000067879","Vxn"
"1",9667415,9700209,"-","ENSMUSG00000025912","Mybl1"
"1",9718622,9748382,"-","ENSMUSG00000045210","Vcpip1"
"1",9798107,9900845,"+","ENSMUSG00000025915","Sgk3"
"1",9908638,9942085,"+","ENSMUSG00000046101","Mcmdc2"
"1",9960163,9967932,"-","ENSMUSG00000099032","Tcf24"
"1",9968624,10009136,"-","ENSMUSG00000025916","Ppp1r42"
"1",10024601,10038168,"-","ENSMUSG00000025917","Cops5"
"1",10037987,10136768,"+","ENSMUSG00000056763","Cspp1"
"1",10137571,10232670,"-","ENSMUSG00000067851","Arfgef1"
"1",10324720,10719945,"-","ENSMUSG00000042501","Cpa6"
"1",10993465,11303681,"+","ENSMUSG00000048960","Prex2"
"1",11414105,11975901,"+","ENSMUSG00000057715","A830018L16Rik"
"1",12692277,12861192,"+","ENSMUSG00000016918","Sulf1"
"1",12866549,12992650,"-","ENSMUSG00000025938","Slco5a1"
"1",13113457,13127163,"-","ENSMUSG00000042414","Prdm14"
